doc_id	slovenian	english
Gos019	Ura književnosti v šestem razredu, učenci berejo pesem, se o njej pogovarjajo in rešujejo delovni list.	Literature lesson in Year 6; pupils read a poem, discuss it and complete a worksheet.
Gos020	Učna ura zgodovine, OŠ, 9. razred, tema je holokavst. Med poukom je predvajan tudi enominutni posnetek s TV.	History lesson, primary school, Year 9, topic: the Holocaust. A one-minute TV clip is also shown during the lesson.
Gos021	Učna ura kemije, OŠ, 9. razred, poučevanje učencev o bazah in kislinah.	Chemistry lesson, primary school, Year 9, teaching pupils about bases and acids.
Gos022	Učna ura matematike v sedmem razredu OŠ; preslikava čez premico, preslikava čez točko.	Mathematics lesson in Year 7 of primary school; mapping across a line, mapping across a point.
Gos023	Radijski pogovor o izboru za pesem Evrovizije, o pravičnosti izbora in primernosti zmagovalca.	Radio discussion about the Eurovision Song Contest selection, the fairness of the selection process and the suitability of the winner.
Gos024	Radijski pogovor o upravičenosti obvezne uporabe varnostnega pasu - mnenja za in proti.	Radio discussion on the justification for the mandatory use of seatbelts – arguments for and against.
Gos025	Poročilo in debata o bolniških odsotnostih in zavodu za zdravstveno zavarovanje.	Report and debate on sick leave and the health insurance fund.
Gos026	Pogovor o upravičenosti povišanja naročnine za javni RTV.	Discussion on the justification for increasing the licence fee for public RTV.
Gos027	Debata o upravičenosti referenduma o vstopu Hrvaške v zvezo Nato.	Debate on the justification for a referendum on Croatia’s accession to NATO.
Gos028	Radijska oddaja o reševanju mejne problematike s Hrvaško.	Radio programme on resolving border issues with Croatia.
Gos029	Razprava o uvedbi vinjet za slovenske avtoceste.	Discussion on the introduction of vignettes for Slovenian motorways.
Gos030	Pogovor o muslimanski veri v Sloveniji.	Discussion on the Muslim faith in Slovenia.
Gos031	Pogovor o presejalnih programih za odkrivanje raka v Sloveniji.	Discussion on cancer screening programmes in Slovenia.
Gos032	Pogovor z gostjo o slovenskih zaporih.	A conversation with a guest about Slovenian prisons.
Gos033	Pogovor o brezdomskem načinu življenja.	A conversation about the homeless way of life.
Gos035	Pogovor z organizatorjem glasbenega festivala.	A conversation with the organiser of a music festival.
Gos036	Pogovor z znanim slovenskim igralcem.	A conversation with a well-known Slovenian actor.
Gos037	Pogovor z znano slovensko pesnico in pisateljico.	A conversation with a well-known Slovenian poet and writer.
Gos038	Pogovor o reševanju mejnega spora s Hrvaško.	A conversation about resolving the border dispute with Croatia.
Gos039	Pogovor z gostom, jezikoslovcem etimologom.	A conversation with a guest, a linguist and etymologist.
Gos040	Pogovor z znano slovensko ustvarjalko, pesnico in pisateljico.	A conversation with a well-known Slovenian artist, poet and writer.
Gos041	Pogovor s slovenskim odvetnikom.	A conversation with a Slovenian lawyer.
Gos043	Pogovor o posledicah in ukrepih ob finančni krizi.	A conversation about the consequences and measures regarding the financial crisis.
Gos044	Intervju z voditeljico centra za otroke in mladostnike.	An interview with the director of a centre for children and young people.
Gos045	Pogovor o stanju mariborskih cest.	A discussion on the state of Maribor’s roads.
Gos046	Intervju z znanim francistom.	An interview with a renowned French scholar.
Gos047	Intervju z nagrajenko zlatega grba Občine Kozje.	An interview with the recipient of the Gold Coat of Arms of the Municipality of Kozje.
Gos048	Intervju s kostumografinjo in zbirateljico spodnjega perila.	An interview with a costume designer and lingerie collector.
Gos049	Intervju z eno najvidnejših osebnosti na področju kulturnega dogajanja v Slovenski Bistrici.	An interview with one of the most prominent figures in the cultural scene of Slovenska Bistrica.
Gos050	Intervju s podjetnikom iz Štajerske.	Interview with an entrepreneur from Štajerska.
Gos053	Prvi letnik gimnazije, kemija. Najprej so ponovili snov prejšnje učne ure - zgradbo atoma, nato so se pogovarjali o eksperimentu s pospeševalnikom delcev v Cernu in začeli obravnavati elektrone v elektronskem ovoju.	First year of grammar school, chemistry. First, they reviewed the material from the previous lesson – the structure of the atom – then discussed the experiment with the particle accelerator at CERN and began examining electrons in the electron shell.
Gos054	Prvi letnik poklicne srednje šole, geografija. Tema so Alpe s predalpskim svetom, govorili so o gospodarstvu, poselitvi, pomembnosti regije in razdelitvi regij.	First year of vocational secondary school, geography. The topic was the Alps and the Pre-Alpine region; they discussed the economy, settlement, the importance of the region and the division of regions.
Gos055	Prvi letnik poklicne srednje šole, slovenščina. Najprej so ponovili snov - razlika med uradnimi in neuradnimi besedili. Nato so začeli novo temo - besedila glede na namen. Iz učbenika so prebrali nekaj besedil in jih poskušali razvrstiti po namenu (vabilo, predstavitev, izražanje čustvenega odnosa itd.).	First year of vocational secondary school, Slovenian. First, they revised the material – the difference between formal and informal texts. Then they began a new topic – texts according to purpose. They read a few texts from the textbook and tried to classify them by purpose (invitation, presentation, expressing an emotional attitude, etc.).
Gos056	Šolska ura psihologije v četrtem letniku poklicne šole, profesor sprašuje o mišljenju, ustvarjalnosti itd.	A psychology lesson in the fourth year of a vocational school; the teacher asks questions about thinking, creativity, etc.
Gos057	Učna ura v 4. letniku srednje ekonomske šole, psihologija. Učitelj sprašuje učence, teme so: čustva, konflikti itd. Ostali učenci med uro večino časa precej na glas klepetajo.	A lesson in the fourth year of a secondary school of economics; psychology. The teacher asks the pupils questions; the topics are: emotions, conflicts, etc. The other pupils spend most of the lesson chatting quite loudly.
Gos058	Šolska ura matematike v tretjem letniku poklicne srednje šole, priprave na test.	A maths lesson in the third year of a vocational secondary school, preparation for a test.
Gos059	Učna ura slovenščine v 3. letniku gimnazije. Tema je povedek.	A Slovenian language lesson in the third year of a grammar school. The topic is the predicate.
Gos060	Učna ura matematike v 4. letniku gimnazije. Reševanje vaj in utrjevanje snovi.	A maths lesson in the fourth year of a grammar school. Solving exercises and consolidating the material.
Gos061	Učna ura v poklicni strokovni šoli, prvi letnik, slovenščina. Obravnavajo književnost srednjega veka.	A lesson at a vocational school, first year, Slovenian. They are studying medieval literature.
Gos062	Ura kemije v prvem letniku srednje šole programa elektrotehnike, o zgradbi trdih snovi.	A chemistry lesson in the first year of a secondary school electrical engineering programme, on the structure of solids.
Gos063	Šolska ura tretjega letnika srednje poklicne šole, v kateri obravnavajo sestavo digitalnega vezja.	A lesson in the third year of a vocational secondary school, in which they are studying the composition of digital circuits.
Gos064	Vrnitev ženske, žrtve nasilja v družini, na njen dom.	The return of a woman, a victim of domestic violence, to her home.
Gos065	Pregled politične kariere znanega slovenskega politika.	An overview of the political career of a well-known Slovenian politician.
Gos066	Reportaža o prevarantskih podjetnikih.	A report on fraudulent entrepreneurs.
Gos067	Doživetje ljubljanskega boljšjega s sejma z enim od prodajalcev na sejmu.	An experience of a Ljubljana resident at a fair with one of the stallholders.
Gos068	Pomanjkanje dijakov na šolah z lesarskimi smermi.	A shortage of students at schools offering woodworking courses.
Gos069	Nevarna šolska pot v Biščah pri Domžalah.	A dangerous school route in Bišče near Domžale.
Gos070	Redno zaposleni duhovniki tudi v bolnišnicah in zaporih.	Permanently employed priests, including in hospitals and prisons.
Gos071	Ženske v politiki.	Women in politics.
Gos074	Oddaja o ministrski ekipi nove vlade.	A programme about the new government’s cabinet.
Gos075	Ameriške predsedniške volitve.	The US presidential election.
Gos077	Krajani zahtevali zaprtje deponije gum v Kidričevem.	Residents demand the closure of the tyre dump in Kidričevo.
Gos078	Prispevek o novem mandatarju.	A report on the new prime minister-designate.
Gos079	Popust za upokojence.	Discounts for pensioners.
Gos080	Poslanci Desusa pripravljeni vstopiti v vlado tudi brez svojega predsednika.	Desus MPs ready to join the government even without their leader.
Gos081	Prisilni dopust v podjetju usnja.	Compulsory leave at a leather goods company.
Gos082	Svinčnik predelan v orožje.	A pencil converted into a weapon.
Gos083	Impro liga v Ljubljani.	Improv league in Ljubljana.
Gos084	Novi predsednik ZDA.	New US president.
Gos085	O pridržanih vinjenih voznikih.	On drunk drivers being detained.
Gos086	Požar v kliničnem centru.	Fire at a medical centre.
Gos087	Predsednik Slovenije o zmagi novega ameriškega predsednika.	Slovenian president on the victory of the new US president.
Gos088	Priznanja za hrabrost.	Awards for bravery.
Gos089	Prodaja večjega slovenskega trgovskega podjetja tujcem.	Sale of a major Slovenian retail company to foreign buyers.
Gos090	Slovenska sončna elektrarna.	Slovenian solar power plant.
Gos091	Znani slovenski novinar v studiu komentira izbor novega ameriškega predsednika.	Well-known Slovenian journalist comments in the studio on the election of the new US president.
Gos092	Visoke temperature motijo ritem živali.	High temperatures disrupt animals’ rhythms.
Gos093	Zaposleni v davčni upravi razburjeni.	Tax office staff upset.
Gos094	Nova vlada skoraj oblikovana.	New government almost formed.
Gos095	Nove podražitve.	New price rises.
Gos096	Pocenitev zdravil.	Price cuts on medicines.
Gos097	Policija pridržala 176 voznikov na Martinov konec tedna.	Police detained 176 drivers over the St Martin’s weekend.
Gos098	Razdelitev resorjev v novi vladi.	Allocation of portfolios in the new government.
Gos100	Svetovno prvenstvo v bodybuildingu na Obali.	World Bodybuilding Championships on the coast.
Gos101	Težave v vladi z dvema resorjema.	Problems in the government over two portfolios.
Gos102	Učitelji najverjetneje ne bodo tožili.	Teachers are unlikely to take legal action.
Gos103	Vreme vpliva na počutje.	The weather affects how people feel.
Gos104	Zdravilo proti raku na želodcu.	A drug for stomach cancer.
Gos105	Snemanje spota o omejeni rabi antibiotikov.	Filming a public service announcement on the restricted use of antibiotics.
Gos106	Televizijski prispevek o smrti pevke Miriam Makeba.	A television report on the death of singer Miriam Makeba.
Gos107	Afera Patria.	The Patria affair.
Gos108	Banke slabo kreditirajo gospodarstvo.	Banks are lending poorly to the economy.
Gos109	Komentar člana vrhovnega sodišča o odločbi sodišča.	A Supreme Court judge’s comment on the court’s decision.
Gos110	Kršenje delovnih pravic.	Violation of labour rights.
Gos111	Sestanek kandidatov za ministre.	Meeting of ministerial candidates.
Gos112	Družinska tragedija v Brežicah.	Family tragedy in Brežice.
Gos113	Intervju o gospodarski krizi v industriji.	Interview on the economic crisis in industry.
Gos114	Pogovor z gosti o kazenskem zakoniku in njegovih slabostih.	Discussion with guests on the Criminal Code and its shortcomings.
Gos115	Intervju s tremi politiki o predsedniku ZDA Obami.	Interview with three politicians on US President Obama.
Gos116	Intervju na temo prodaje Mercatorja.	Interview on the sale of Mercator.
Gos117	Pogovor s predstavniki poslanskih skupin o novi vladi.	Discussion with representatives of parliamentary groups on the new government.
Gos118	Intervju na temo odločbe o ustanovitvi nove univerze v Novi Gorici.	Interview on the decision to establish a new university in Nova Gorica.
Gos119	Intervju z direktorjem železnic o poslovanju uprave in upravičenosti do izplačila božičnice.	Interview with the director of the railways on the management’s operations and the justification for the Christmas bonus payment.
Gos120	Pogovor s politikom o odnosih med Hrvaško in Slovenijo.	Discussion with a politician on relations between Croatia and Slovenia.
Gos121	Slovenija pojasnjuje svoj 'ne' Hrvaški pri nadaljevanju pogajanj za vstop v EU.	Slovenia explains its ‘no’ to Croatia regarding the continuation of EU accession negotiations.
Gos122	Pomoč države podjetjem v času krize.	State aid to businesses during the crisis.
Gos123	Oddaja z gosti o mirovnih operacijah in prisotnosti slovenskih vojakov v Iraku, Afganistanu ter na Kosovu.	A programme with guests on peacekeeping operations and the presence of Slovenian soldiers in Iraq, Afghanistan and Kosovo.
Gos124	Oddaja z gosti o izraelskih napadih na Gazo in o tem, kakšne so možnosti mirnega sobivanja Palestincev in Izraelcev na tem območju.	A programme with guests on Israeli attacks on Gaza and the prospects for peaceful coexistence between Palestinians and Israelis in the region.
Gos125	Intervju o načrtih politične opozicije v Sloveniji.	An interview on the plans of the political opposition in Slovenia.
Gos126	Intervju o težavah večjega slovenskega holdinga.	An interview on the difficulties faced by a major Slovenian holding company.
Gos127	Intervju o slovenskih vojaških operacijah v tujini.	An interview on Slovenian military operations abroad.
Gos128	Intervju o slovenski polpretekli zgodovini.	Interview on Slovenia’s recent history.
Gos129	Intervju o težavah slovenske policije.	Interview on the difficulties faced by the Slovenian police.
Gos130	Jutranji program radia.	Morning radio programme.
Gos133	Jutranji program radia.	Morning radio programme.
Gos134	Jutranji program radia.	Morning radio programme.
Gos135	Jutranji program radia.	Morning radio programme.
Gos136	Jutranji program radia, rdeča nit oddaje je odnos do resnice in laži.	Morning radio programme, with the programme’s central theme being the relationship between truth and lies.
Gos137	Jutranji program radia.	Morning radio programme.
Gos138	Nagradni kviz - poslušalca se v dvoboju pomerita v poznavanju krajev na črko i.	Prize quiz – two listeners compete in a head-to-head contest on their knowledge of places beginning with the letter ‘i’.
Gos139	Radijski pogovor med novinarjem in starejšo prebivalko Porabja (Gornji Senik) o vsakdanjih dogodkih v preteklosti.	Radio conversation between a journalist and an elderly resident of Porabje (Gornji Senik) about everyday events in the past.
Gos140	Radijski pogovor med novinarjem in starejšo prebivalko Porabja (Stevanovci) o dogodkih v preteklosti.	Radio interview between a journalist and an elderly resident of Porabje (Stevanovci) about events in the past.
Gos142	Pogovor s pevko o nastajanju in izdaji nove plošče.	Interview with a singer about the creation and release of a new album.
Gos143	Pogovor z gostoma iz glasbene skupine o izdaji nove plošče.	Interview with guests from a music group about the release of a new album.
Gos144	Jutranji program radia.	Morning radio programme.
Gos145	Jutranji program: vsakdanje teme (zimsko vreme, služba), čestitke, nagradna igra.	Morning programme: everyday topics (winter weather, work), greetings, prize draw.
Gos146	Jutranji program: vsakdanje teme (zimsko vreme, služba), nagradna igra.	Morning programme: everyday topics (winter weather, work), prize draw.
Gos147	Jutranji program radia.	Morning radio programme.
Gos151	Intervju s strokovnjakom o prenovljeni lokalni meteorološki postaji.	Interview with an expert on the refurbished local weather station.
Gos152	Študentska oddaja.	Student programme.
Gos154	Jutranji program radia.	Morning radio programme.
Gos156	Glasbena oddaja o domači glasbi z gosti, nagradno igro ipd.	Music programme featuring local music with guests, a prize draw, etc.
Gos157	Razvedrilni TV šov v nedeljo zvečer z dvema voditeljema in gostjo, pevko v slovenski zabavnoglasbeni skupini.	Sunday evening entertainment TV show with two presenters and a guest, a singer from a Slovenian pop group.
Gos158	Večerni razvedrilni TV-šov z gostjo, znano slovensko pevko.	Evening entertainment TV show with a guest, a well-known Slovenian singer.
Gos159	Razvedrilni TV-šov v nedeljo zvečer z dvema voditeljema in gostom, znanim slovenskim igralcem in gledališčnikom.	Sunday evening entertainment TV show with two presenters and a guest, a well-known Slovenian actor and theatre performer.
Gos161	Televizijska kuharska oddaja z znano gostjo; kuhanje špagetov s školjkami.	TV cooking programme with a well-known guest; cooking spaghetti with mussels.
Gos164	Televizijska igra na srečo - posebna oddaja z znanimi osebnostmi.	TV game show – a special programme featuring well-known personalities.
Gos166	Pogovor z znano osebo s področja smučanja o smučanju in o njegovem zasebnem življenju.	A chat with a well-known figure from the world of skiing about skiing and his private life.
Gos167	Zabavna TV oddaja z znanimi gosti, teme so slovensko-hrvaški odnosi, slovenski nacionalni značaj, metanje čevljev v politike...	An entertainment TV programme with well-known guests; topics include Slovenian-Croatian relations, the Slovenian national character, throwing shoes at politicians...
Gos168	Finale velaslaloma za ženske v Aareju - prvi tek.	Women’s giant slalom final in Åre – first run.
Gos169	Finale velaslaloma za ženske v Aareju - drugi tek.	Women’s giant slalom final in Åre – second run.
Gos172	Sestanek učiteljic, razpravljajo o nadomešcanju izostale učiteljice, načrtujejo šolsko delo prihajajočega tedna.	A meeting of teachers, discussing a replacement for an absent teacher and planning the school work for the coming week.
Gos173	Pogovor med prodajalcem prevlek za žimnice in stranko po prodaji, ko je prodajalec prišel po denar.	Conversation between a mattress cover salesman and a customer after the sale, when the salesman has come to collect the money.
Gos174	Sestanek sodelavk v okviru univerze o delu na projektu.	Meeting of colleagues at the university regarding work on a project.
Gos175	Pogovor stranke in zavarovalne agentke pri stranki doma, obnavljanje zavarovalne police za hišo.	Conversation between a customer and an insurance agent at the customer’s home, renewing the home insurance policy.
Gos177	Konzultacija za doktorsko disertacijo.	A consultation regarding a doctoral thesis.
Gos178	Sestanek sodelavcev pri gradnji nacionalnega govornega korpusa. Ena sogovornica sodeluje pri sestanku prek Skypa.	A meeting of colleagues working on the construction of a national speech corpus. One participant is joining the meeting via Skype.
Gos180	Pogovor med stranko in arhitektom pri stranki doma o ureditvi vrta in izgradnji bazena.	A conversation between a client and an architect at the client’s home regarding garden landscaping and the construction of a swimming pool.
Gos181	Delovni sestanek učiteljic 4. in 5. razreda osnovne šole. Izpolnjevanje delovnega lista, povezanega z veščinami, ki naj bi jih otroci usvojili do konca osnovne šole. Razprava o kolesarskem izpitu in učbenikih za naslednje šolsko leto.	A working meeting of Year 4 and Year 5 primary school teachers. Completing a worksheet related to the skills children are expected to have acquired by the end of primary school. A discussion about the cycling proficiency test and textbooks for the next school year.
Gos182	Pogovor med redno stranko in frizerko v frizerskem salonu.	A conversation between a regular customer and a hairdresser in a hair salon.
Gos183	Pogovor med tremi sodelavci v trgovini o svojem delu, prevzemanju izdelkov itd. Govorka ima veliko dela na računalniku, eden izmed govorcev je malo oddaljen in se pogovoru pridruži redkeje. Eden izmed govorcev pa med drugim kliče svojo nadrejeno, njenega moža in neko podjetje, kjer naroča izdelke.	A conversation between three colleagues in a shop about their work, taking stock of products, etc. One of the speakers has a lot of work on the computer; another is sitting a little further away and joins the conversation less frequently. One of the speakers, among other things, calls her supervisor, her husband and a company where she orders products.
Gos185	Govorilna ura v vrtcu, pogovor med mamo, vzgojiteljico in pomočnico vzgojiteljice.	A parent-teacher meeting at a nursery school, a conversation between a mother, a nursery teacher and a nursery assistant.
Gos186	Konzultacija o diplomski nalogi iz prevajalstva med mentorjem in študentko.	A consultation on a translation thesis between a supervisor and a student.
Gos187	Pogovor študenta in profesorja na smeri računalništvo o temi seminarske naloge.	A conversation between a student and a professor in the computer science department regarding the topic of a seminar paper.
Gos188	Konzultacija na višji šoli med študentko in predavateljico pri predmetu jezikovne kulture.	A consultation at a college between a student and a lecturer on the subject of language culture.
Gos190	Nakup rož za vrt in sobnih rož v cvetličarni.	Buying garden and indoor plants at a florist’s.
Gos191	Pogovor med pacientom in fizioterapevtko med fizioterapevtsko obravnavo.	A conversation between a patient and a physiotherapist during a physiotherapy session.
Gos194	Inštrukcije matematike, priprave na test.	Maths tutoring, preparation for a test.
Gos195	Prva študija nove gledališke predstave.	The first rehearsal of a new theatre production.
Gos196	Razgovor za delo v jezikovni šoli.	A job interview at a language school.
Gos199	Sestanek učiteljic v SŠ. Določanje terminov za projektne naloge, izbor tem nalog, elementi projektne naloge, kriteriji ocenjevanja nastopa dijaka ...	A meeting of teachers at a secondary school. Setting deadlines for project assignments, selecting assignment topics, elements of the project assignment, criteria for assessing pupils’ performance...
Gos200	Telefonska promocija izdelka za lajšanje bolečin in dogovarjanje za termin predstavitve izdelka.	A telephone sales pitch for a pain-relief product and arranging a date for the product presentation.
Gos201	Učiteljica in vodja izobraževanja se pogovarjata o tekočih zadevah. Na začetku se oglasi še neka druga oseba.	A teacher and the head of education are discussing current matters. At the start, another person joins the conversation.
Gos203	Telefonski pogovor med uslužbenko v banki, ki posreduje informacije o ponudbi banke, in potencialnim komitentom.	A telephone conversation between a bank employee providing information about the bank’s services and a potential client.
Gos204	Posredovanje informacij o turističnih aktivnostih.	Providing information about tourist activities.
Gos205	Svetovanje o lokalni turistični ponudbi, pogovor med informatorko v turističnem informativnem centru in klicalko.	Advice on local tourist attractions; a conversation between an information officer at a tourist information centre and a caller.
Gos208	Kratek telefonski pogovor med tajnico fakultetnega oddelka in predavateljem na oddelku.	A brief telephone conversation between a faculty department secretary and a lecturer in the department.
Gos209	Turistično agencijo pokliče dekle, ki potuje v Izrael in želi pridobiti podatke o potovanju.	A girl travelling to Israel calls a travel agency to obtain information about her trip.
Gos210	Telefonski pogovor med stranko in informatorjem v klicnem centru podjetja, ki trži telekomunikacijske storitve.	A telephone conversation between a customer and an advisor at the call centre of a company marketing telecommunications services.
Gos214	Telefonski pogovor med kupcem in prodajalcem v kolesarski trgovini.	A telephone conversation between a customer and a sales assistant at a bicycle shop.
Gos215	Telefonski pogovor med stranko in prodajalcem v kolesarski trgovini.	A telephone conversation between a customer and a sales assistant at a bicycle shop.
Gos217	Pogovor na predvečer debelega četrtka v pustnem času. Teme so različne in se neprestano menjujejo, npr. pluženje snega, praznovanje debelega četrtka, vinjete itd.	A conversation on the eve of Fat Thursday during Shrove Tuesday. The topics are varied and constantly changing, e.g. snow clearing, Fat Thursday celebrations, vignettes, etc.
Gos219	Pogovor predvsem o temah, povezanih z življenjem na podeželju - stroji, pridelki, kuhanje...	A conversation mainly about topics related to rural life – machinery, crops, cooking...
Gos220	Družinski pogovor ob kavici.	A family conversation over coffee.
Gos221	Pogovor v družini o aktualnih zadevah - velikonočni prazniki, dogajanje v družini...	A family conversation about current affairs – the Easter holidays, family events...
Gos223	Pogovor treh prijateljic.	A conversation between three friends.
Gos224	Pogovor med starejšima prijateljicama o cerkvi, opravilih, živini, zdravju ...	A conversation between two older friends about church, chores, livestock, health...
Gos225	Pogovor med mlajšimi prijatelji o športnih stavah, pokru, avtošoli ipd.	A conversation between younger friends about sports betting, poker, driving school, etc.
Gos226	Obisk pri sosedih in pogovori o vsakdanjih stvareh.	A visit to the neighbours and conversations about everyday matters.
Gos227	Družinsko kosilo in druženje s sorodniki; splošni pogovor, obujanje spominov ipd.	A family lunch and socialising with relatives; general conversation, reminiscing, etc.
Gos228	Pogovor v baru med sodelavci med odmorom za malico.	A conversation in a bar between colleagues during their lunch break.
Gos229	Vsakotedenski pogovar vnukinje na obisku pri babici o trenutnih dogodkih, dogodkih iz preteklosti...	A weekly chat between a granddaughter visiting her grandmother about current events, events from the past...
Gos231	Pogovor med materjo in hčerko o vnukinji in vsakdanjih stvareh.	A conversation between a mother and daughter about their granddaughter and everyday matters.
Gos232	Pogovor med sestrama o študiju, plesu, koncertih.	A conversation between sisters about their studies, dancing, concerts.
Gos233	Pogovor med sinom in staršema o urejanju vrta, nakupu novih zvočnikov in vzdrževanju računalniške opreme.	A conversation between a son and his parents about gardening, buying new speakers and maintaining computer equipment.
Gos234	Mož in žena se pogovarjata o preživetem dnevu, preživljanju vikenda, načrtih za bližnjo prihodnost, sorodnikih ...	A husband and wife talking about their day, their weekend plans, plans for the near future, relatives...
Gos235	Pogovor ob kavi med svakinjama in možem ene od njiju o vsakdanjih dogodkih doma in v službi, o otrocih, izletih, nabiranju gob, domačih živalih itd.	A conversation over coffee between two sisters-in-law and the husband of one of them about everyday events at home and at work, about children, outings, mushroom picking, pets, etc.
Gos237	Pogovor med starejšima osebama o otroštvu, vojni, revščini itd.	A conversation between two elderly people about childhood, the war, poverty, etc.
Gos238	Pogovor dveh zakoncev o vsakdanjiku, delu na vrtu...	A conversation between a married couple about everyday life, gardening....
Gos239	Prijatelja se pogovarjata o težavah domačega zdravstva in obujata spomine na potovanje po Španiji.	Two friends discussing the problems of the national health service and reminiscing about a trip to Spain.
Gos240	Pogovor o kmečkih opravilih (pobiranje krompirja, košnja trave itd.), raznih dogodkih, hrani, znancih in njihovem življenju, življenjskih modrostih ...	A conversation about farm work (potato harvesting, mowing the grass, etc.), various events, food, acquaintances and their lives, life wisdom...
Gos241	Pogovor med prijateljema iz najstniških let in mamo enega izmed njiju. Večinoma o glasbi, delu in fakulteti. Eden izmed udeležencev se je razgovoril o morebitni temi diplomske naloge, elektrotehniki, robotiki, veliko so govorili o računalnikih in tehnologiji.	A conversation between two friends from their teenage years and the mother of one of them. Mainly about music, work and university. One of the participants spoke at length about a possible topic for a dissertation, electrical engineering, robotics; they talked a lot about computers and technology.
Gos242	Ponovno srečanje po dolgem času - trije govorci so se poznali že od prej, medtem ko je četrta oseba poznala le eno. Tema: glasba, koncerti, pripovedovanje raznih pripetljajev, obujanje spominov in razmišljanje o stvareh, ki se bodo šele zgodile.	A reunion after a long time – three of the speakers already knew each other, whilst the fourth person knew only one of them. Topic: music, concerts, recounting various anecdotes, reminiscing and reflecting on things yet to come.
Gos244	Pogovor dveh prijateljev in sošolcev, ki študirata v Ljubljani, večinoma o filozofiji, fakultetni politiki in računalniških igricah.	A conversation between two friends and classmates studying in Ljubljana, mostly about philosophy, university politics and computer games.
Gos245	Srečanje dveh prijateljev s fakultete. Pogovor se večinoma nanaša na študijske obveznosti, pa tudi glasbo, vlogo medijev v današnjem času ter kritiko ljudi, ki medijem brezpogojno zaupajo.	A meeting between two friends from university. The conversation mainly concerns academic obligations, as well as music, the role of the media in today’s world, and a critique of people who trust the media unconditionally.
Gos246	Tast in zet se ob kavi pogovarjata o gradnji hiše, službenih temah itd.	A father-in-law and son-in-law chat over coffee about building a house, work matters, etc.
Gos250	Pogovor pri kosilu, teme so zelo različne: družinsko življenje, kozmetika, šola...	A conversation over lunch; the topics are very varied: family life, cosmetics, school...
Gos251	Vsi govorci igrajo v glasbeni skupini, pogovor je potekal pred vajami. Teme: glasba, služba, nogomet ...	All the speakers play in a band; the conversation took place before rehearsals. Topics: music, work, football...
Gos252	Pogovor pri večerji o konjih, reji, prijateljih...	A conversation over dinner about horses, farming, friends...
Gos253	Prijatelji v kampu ob morju se pogovarjajo o zdravstvu, spominih iz jugoslovanske vojske ipd.	Friends at a seaside campsite chat about healthcare, memories from the Yugoslav army, and so on.
