sample_id	sent_id	source_file	line	source_key	source_kind	selected_source_data	expected_enriched_data
S08	Artur-J-Gvecg-P580013.resegsent10183	metadata/gos/utterance-speaker.tsv	2347	Artur-J-Gvecg-P580013.u89	utterance_to_speaker	utterance_id=Artur-J-Gvecg-P580013.u89 | speaker_id=Artur-J-G4531	speaker candidate Artur-J-G4531
S08	Artur-J-Gvecg-P580013.resegsent10183	metadata/gos/Gos-speakers.tsv	2261	Artur-J-G4543	speaker_attributes	SEX=moški | AGE=30 do 59 let | EDUCATION=višja ali visoka šola | PERM-RESD=-	# speaker_gender = male | # speaker_age = 30 to 59 | # speaker_education = college | # speaker_residence = unknown
S08	Artur-J-Gvecg-P580013.resegsent10183	metadata/gos/Gos-speakers.tsv	2239	Artur-J-G4531	speaker_attributes	SEX=ženski | AGE=nad 60 let | EDUCATION=višja ali visoka šola | PERM-RESD=savinjska	# speaker_gender = female | # speaker_age = 60+ | # speaker_education = college | # speaker_residence = savinjska
S09	Artur-P-G7041-P701501.resegsent47979	metadata/gos/Gos-speeches.tsv	783	Artur-P-G7041-P701501	event/document	SUBCORPUS=Artur-P | TYPE=informativno-izobraževalni | DOMAIN=seja državnega zbora | CHANNEL=osebni stik | TITLE=Artur-P-G7041-P701501	document-level context only; event comments are emitted at document start, not in this sampled sentence block
S09	Artur-P-G7041-P701501.resegsent47979	metadata/gos/utterance-speaker.tsv	13795	Artur-P-G7041-P701501.u6	utterance_to_speaker	utterance_id=Artur-P-G7041-P701501.u6 | speaker_id=Artur-P-G7041	speaker candidate Artur-P-G7041
S09	Artur-P-G7041-P701501.resegsent47979	metadata/gos/utterance-speaker.tsv	13796	Artur-P-G7041-P701501.u8	utterance_to_speaker	utterance_id=Artur-P-G7041-P701501.u8 | speaker_id=Artur-P-G7041	speaker candidate Artur-P-G7041
S09	Artur-P-G7041-P701501.resegsent47979	metadata/gos/utterance-speaker.tsv	MISSING	Artur-P-G7041-P701501.u9	utterance_to_speaker	utterance_id=Artur-P-G7041-P701501.u9 | speaker_id=_	speaker candidate _
S09	Artur-P-G7041-P701501.resegsent47979	metadata/gos/utterance-speaker.tsv	13792	Artur-P-G7041-P701501.u11	utterance_to_speaker	utterance_id=Artur-P-G7041-P701501.u11 | speaker_id=Artur-P-G7041	speaker candidate Artur-P-G7041
S09	Artur-P-G7041-P701501.resegsent47979	metadata/gos/Gos-speakers.tsv	2716	Artur-P-G7041	speaker_attributes	SEX=ženski | AGE=- | EDUCATION=- | PERM-RESD=-	# speaker_gender = female | # speaker_age = unknown | # speaker_education = unknown | # speaker_residence = unknown
S10	GosVL39_skrek.s89	metadata/gos/Gos-speeches.tsv	327	GosVL39_skrek	event/document	SUBCORPUS=GosVL | TYPE=informativno-izobraževalni | DOMAIN=javno predavanje, računalništvo | CHANNEL=osebni stik | TITLE=Identifikacija in upravljanje podatkov	document-level context only; event comments are emitted at document start, not in this sampled sentence block
S10	GosVL39_skrek.s89	metadata/gos/descriptions-en.tsv	327	GosVL39_skrek	event_description_override	english=Data identification and management	document-level context only; event comments are emitted at document start, not in this sampled sentence block
S10	GosVL39_skrek.s89	metadata/gos/utterance-speaker.tsv	MISSING	GosVL39_skrek.u9	utterance_to_speaker	utterance_id=GosVL39_skrek.u9 | speaker_id=_	speaker candidate _
